S,pC,pD,i,s,t,Time
0.0,0.0,89.1437454627907,17,f1,1,2020-01-01 01:25
0.0,0.0,0.0,17,f1,2,2020-01-01 01:25
0.0,-0.0,0.0,17,f1,3,2020-01-01 01:25
0.0,-0.0,0.0,17,f1,4,2020-01-01 01:25
0.0,-0.0,0.0,17,f1,5,2020-01-01 01:25
0.0,-0.0,0.0,17,f1,6,2020-01-01 01:25
0.0,-0.0,0.0,17,f1,7,2020-01-01 01:25
0.0,-0.0,0.0,17,f1,8,2020-01-01 01:25
0.0,-0.0,0.0,17,f1,9,2020-01-01 01:25
1.08696650826512,13.7301032622962,0.0,17,f1,10,2020-01-01 01:25
5.0,50.0,0.0,17,f1,11,2020-01-01 01:25
25.0,50.0,0.0,17,b1,0,2020-01-01 01:25
16.6819588680046,0.0,99.791482118285,17,b1,1,2020-01-01 01:25
