S,p_ch,p_dc,i,s,t,Time
19.98,0.0,0.0,10,b1,9,2020-01-01 00:50
19.96002,0.0,0.0,10,b1,10,2020-01-01 00:50
19.94005998,0.0,0.0,10,b1,11,2020-01-01 00:50
20.0,1.00901154062592,0.0,10,b1,12,2020-01-01 00:50
1.0,0.126315789978948,0.0,10,f1,1,2020-01-01 00:50
1.02030405060708,0.382788009199546,0.0,10,f1,2,2020-01-01 00:50
1.01010101010101,0.0,0.0,10,f1,3,2020-01-01 00:50
1.0,0.0,0.0,10,f1,4,2020-01-01 00:50
1.0,0.126315789978949,0.0,10,f1,5,2020-01-01 00:50
1.0,0.126315789978949,0.0,10,f1,6,2020-01-01 00:50
1.0,0.126315789978948,0.0,10,f1,7,2020-01-01 00:50
1.0,0.126315789978949,0.0,10,f1,8,2020-01-01 00:50
1.0,0.126315789978948,0.0,10,f1,9,2020-01-01 00:50
1.21309608300562,2.81805579660641,0.0,10,f1,10,2020-01-01 00:50
2.21572786868119,12.8180557966064,0.0,10,f1,11,2020-01-01 00:50
4.0,22.8180557966064,0.0,10,f1,12,2020-01-01 00:50
23.0420952879354,0.0,5.0,11,b1,1,2020-01-01 00:55
21.7690531976474,0.0,15.0,11,b1,2,2020-01-01 00:55
20.4972841494498,0.0,15.0,11,b1,3,2020-01-01 00:55
20.0601202003003,0.0,5.0,11,b1,4,2020-01-01 00:55
20.0400600801,0.0,0.0,11,b1,5,2020-01-01 00:55
20.0200200200199,0.0,0.0,11,b1,6,2020-01-01 00:55
19.9999999999999,0.0,0.0,11,b1,7,2020-01-01 00:55
19.9799999999999,0.0,0.0,11,b1,8,2020-01-01 00:55
19.9600199999999,0.0,0.0,11,b1,9,2020-01-01 00:55
19.9400599799999,0.0,0.0,11,b1,10,2020-01-01 00:55
19.9201199200199,0.0,0.0,11,b1,11,2020-01-01 00:55
20.0,1.26063410904354,0.0,11,b1,12,2020-01-01 00:55
1.02030405060708,0.382788009199546,0.0,11,f1,1,2020-01-01 00:55
1.01010101010101,0.0,0.0,11,f1,2,2020-01-01 00:55
1.0,0.0,0.0,11,f1,3,2020-01-01 00:55
1.0,0.126315789978949,0.0,11,f1,4,2020-01-01 00:55
1.0,0.126315789978947,0.0,11,f1,5,2020-01-01 00:55
1.0,0.126315789978947,0.0,11,f1,6,2020-01-01 00:55
1.0,0.126315789978947,0.0,11,f1,7,2020-01-01 00:55
1.0,0.126315789978947,0.0,11,f1,8,2020-01-01 00:55
1.0,0.126315789978947,0.0,11,f1,9,2020-01-01 00:55
1.21309608300562,2.81805579660641,0.0,11,f1,10,2020-01-01 00:55
2.21572786868119,12.8180557966064,0.0,11,f1,11,2020-01-01 00:55
4.0,22.8180557966064,0.0,11,f1,12,2020-01-01 00:55
21.7690531976475,0.0,15.0,12,b1,1,2020-01-01 01:00
20.4972841494498,0.0,15.0,12,b1,2,2020-01-01 01:00
20.0601202003004,0.0,5.00000000000001,12,b1,3,2020-01-01 01:00
20.0400600801001,0.0,0.0,12,b1,4,2020-01-01 01:00
20.02002002002,0.0,0.0,12,b1,5,2020-01-01 01:00
20.0,0.0,0.0,12,b1,6,2020-01-01 01:00
19.98,0.0,0.0,12,b1,7,2020-01-01 01:00
19.96002,0.0,0.0,12,b1,8,2020-01-01 01:00
19.94005998,0.0,0.0,12,b1,9,2020-01-01 01:00
19.92011992002,0.0,0.0,12,b1,10,2020-01-01 01:00
19.9001998001,0.0,0.0,12,b1,11,2020-01-01 01:00
20.0,1.51200505489201,0.0,12,b1,12,2020-01-01 01:00
1.01010101010101,0.0,0.0,12,f1,1,2020-01-01 01:00
1.0,0.0,-1.326501529139e-14,12,f1,2,2020-01-01 01:00
1.0,0.126315789978947,0.0,12,f1,3,2020-01-01 01:00
1.0,0.126315789978948,0.0,12,f1,4,2020-01-01 01:00
1.0,0.126315789978948,0.0,12,f1,5,2020-01-01 01:00
1.0,0.126315789978948,0.0,12,f1,6,2020-01-01 01:00
1.0,0.126315789978948,0.0,12,f1,7,2020-01-01 01:00
1.0,0.126315789978949,0.0,12,f1,8,2020-01-01 01:00
1.0,0.126315789978948,0.0,12,f1,9,2020-01-01 01:00
1.21309608300562,2.81805579660641,0.0,12,f1,10,2020-01-01 01:00
2.21572786868119,12.8180557966064,0.0,12,f1,11,2020-01-01 01:00
4.0,22.8180557966064,0.0,12,f1,12,2020-01-01 01:00
20.4972841494499,0.0,15.0,13,b1,1,2020-01-01 01:05
20.0601202003004,0.0,5.0,13,b1,2,2020-01-01 01:05
