p_gen,i,g,t,Time
10.1263157899789,43,g1,1,2020-01-01 03:35
14.4624361796131,43,g1,2,2020-01-01 03:35
25.1748305027142,43,g1,3,2020-01-01 03:35
30.83871011308,43,g1,4,2020-01-01 03:35
15.0,43,g1,5,2020-01-01 03:35
35.0,43,g1,6,2020-01-01 03:35
35.0,43,g1,7,2020-01-01 03:35
15.0,43,g1,8,2020-01-01 03:35
33.2394571092872,43,g1,9,2020-01-01 03:35
35.0,43,g1,10,2020-01-01 03:35
35.0,43,g1,11,2020-01-01 03:35
35.0,43,g1,12,2020-01-01 03:35
10.1263157899789,44,g1,1,2020-01-01 03:40
12.8165480196714,44,g1,2,2020-01-01 03:40
30.83871011308,44,g1,3,2020-01-01 03:40
15.0,44,g1,4,2020-01-01 03:40
35.0,44,g1,5,2020-01-01 03:40
35.0,44,g1,6,2020-01-01 03:40
15.0,44,g1,7,2020-01-01 03:40
25.0,44,g1,8,2020-01-01 03:40
35.0,44,g1,9,2020-01-01 03:40
35.0,44,g1,10,2020-01-01 03:40
35.0,44,g1,11,2020-01-01 03:40
35.0,44,g1,12,2020-01-01 03:40
10.1263157899789,45,g1,1,2020-01-01 03:45
18.0844884589314,45,g1,2,2020-01-01 03:45
15.0,45,g1,3,2020-01-01 03:45
35.0,45,g1,4,2020-01-01 03:45
35.0,45,g1,5,2020-01-01 03:45
11.8110954219396,45,g1,6,2020-01-01 03:45
21.8110954219396,45,g1,7,2020-01-01 03:45
31.938687128989,45,g1,8,2020-01-01 03:45
35.0,45,g1,9,2020-01-01 03:45
35.0,45,g1,10,2020-01-01 03:45
35.0,45,g1,11,2020-01-01 03:45
35.0,45,g1,12,2020-01-01 03:45
10.1263157899789,46,g1,1,2020-01-01 03:50
15.0,46,g1,2,2020-01-01 03:50
35.0,46,g1,3,2020-01-01 03:50
35.0,46,g1,4,2020-01-01 03:50
10.1263157899789,46,g1,5,2020-01-01 03:50
14.5499816334692,46,g1,6,2020-01-01 03:50
24.5499816334692,46,g1,7,2020-01-01 03:50
34.5499816334692,46,g1,8,2020-01-01 03:50
35.0,46,g1,9,2020-01-01 03:50
35.0,46,g1,10,2020-01-01 03:50
35.0,46,g1,11,2020-01-01 03:50
35.0,46,g1,12,2020-01-01 03:50
15.0,47,g1,1,2020-01-01 03:55
35.0,47,g1,2,2020-01-01 03:55
35.0,47,g1,3,2020-01-01 03:55
10.126315789979,47,g1,4,2020-01-01 03:55
10.1263157899789,47,g1,5,2020-01-01 03:55
14.5996521848259,47,g1,6,2020-01-01 03:55
24.5996521848259,47,g1,7,2020-01-01 03:55
34.5996521848259,47,g1,8,2020-01-01 03:55
35.0,47,g1,9,2020-01-01 03:55
35.0,47,g1,10,2020-01-01 03:55
35.0,47,g1,11,2020-01-01 03:55
35.0,47,g1,12,2020-01-01 03:55
35.0,48,g1,1,2020-01-01 04:00
35.0,48,g1,2,2020-01-01 04:00
10.1263157899789,48,g1,3,2020-01-01 04:00
10.1263157899789,48,g1,4,2020-01-01 04:00
